strain	LENGTH_ESTIMATE
[MY2373.bam]	121.728
[ECA2071.bam]	309.223
[ECA1967.bam]	202.405
[MY2121.bam]	148.749
[ECA2575.bam]	173.668
[QG2812.bam]	140.938
[BRC20231.bam]	68.8761
[QG4008.bam]	191.41
[ECA2417.bam]	214.894
[ECA2569.bam]	140.503
[ECA2564.bam]	174.241
[ECA2594.bam]	168.598
[QG2852.bam]	124.6
[ECA2437.bam]	201.139
[ECA1244.bam]	205.545
[ECA728.bam]	158.415
[ECA736.bam]	177.343
[QG2874.bam]	162.262
[QG4014.bam]	241.948
[ECA1871.bam]	409.797
[NIC1119.bam]	122.402
[JU1200.bam]	253.678
[JU310.bam]	100.994
[NIC1807.bam]	193.136
[ECA393.bam]	252.616
[ECA1251.bam]	191.272
[ECA1257.bam]	155.7
[ECA2533.bam]	234.845
[MY2050.bam]	191.938
[MY2443.bam]	141.244
[ECA2199.bam]	226.066
[ECA759.bam]	174.798
[ECA2561.bam]	154.296
[QG2931.bam]	132.003
[ECA1799.bam]	403.412
[MY2109.bam]	147.26
[NIC513.bam]	125.045
[ECA2332.bam]	400.119
[JU323.bam]	110.205
[JU2907.bam]	156.136
[PB303.bam]	696.373
[ECA1288.bam]	200.148
[EG4724.bam]	406.606
[NIC1977.bam]	120.414
[JU2467.bam]	110.971
[ECA1228.bam]	168.672
[ECA1199.bam]	177.928
[ECA808.bam]	208.545
[ECA1841.bam]	92.3378
[ECA1190.bam]	172.534
[ECA1237.bam]	167.093
[QG2872.bam]	155.927
[ECA372.bam]	224.632
[ECA1231.bam]	161.192
[QG557.bam]	665.395
[ECA810.bam]	281.856
[JU1896.bam]	219.726
[ECA2611.bam]	246.276
[JU3786.bam]	185.743
[JU312.bam]	110.733
[QG4078.bam]	201.554
[ECA2578.bam]	169.981
[NIC1800.bam]	218.777
[ECA2445.bam]	154.697
[ECA721.bam]	140.129
[ECA752.bam]	236.011
[JU3138.bam]	184.398
[QG4005.bam]	185.787
[JU4067.bam]	133.871
[ECA1413.bam]	165.841
[ECA1797.bam]	187.669
[MY2630.bam]	538.637
[ECA1695.bam]	335.564
[WN2092.bam]	139.283
[QG4158.bam]	203.26
[ECA2350.bam]	244.984
[NIC259.bam]	223.449
[JU1246.bam]	152.558
[QG2873.bam]	158.263
[WN2064.bam]	99.4388
[ECA1235.bam]	181.442
[ECA2334.bam]	455.298
[ECA2577.bam]	163.954
[JU561.bam]	156.343
[QG2832.bam]	145.276
[ECA1203.bam]	195.435
[JU1213.bam]	189.418
[ECA1979.bam]	514.354
[ECA729.bam]	198.609
[ECA760.bam]	232.734
[ECA1753.bam]	343
[JU363.bam]	283.809
[JU3167.bam]	70.4363
[JU2610.bam]	166.224
[ECA2435.bam]	200.489
[ECA1282.bam]	210.358
[ECA1188.bam]	188.4
[ECA1901.bam]	293.682
[ECA713.bam]	235.413
[WN2089.bam]	141.94
[NIC523.bam]	86.6102
[JU755.bam]	151.233
[MY2692.bam]	155.777
[ECA1805.bam]	373.152
[QG2818.bam]	132.254
[ED3077.bam]	147.392
[ECA925.bam]	131.937
[ECA1721.bam]	210.171
[ECA2362.bam]	271.887
[QG2825.bam]	142.245
[BRC20113.bam]	107.53
[ECA1989.bam]	196.286
[ECA2660.bam]	170.212
[ECA1286.bam]	180.034
[QG4193.bam]	181.449
[CX11264.bam]	826.012
[ECA782.bam]	185.623
[ECA2532.bam]	220.047
[JU3402.bam]	137.945
[ECA745.bam]	152.21
[QG4018.bam]	216.983
[ECA190.bam]	409.494
[ECA1249.bam]	200.722
[ECA1266.bam]	191.994
[QG2837.bam]	154.522
[ECA2582.bam]	124.598
[QX1793.bam]	206.181
[ECA726.bam]	230.169
[CX11307.bam]	135.707
[QG2853.bam]	129.801
[ECA1072.bam]	99.6476
[NIC1.bam]	245.091
[ECA1269.bam]	151.908
[ECA2111.bam]	154.159
[ECA2605.bam]	209.793
[JU2464.bam]	208.374
[ECA1406.bam]	167.931
[ECA1391.bam]	182.816
[MY2573.bam]	155.296
[JU2250.bam]	54.0955
[ECA2101.bam]	188.106
[ECA1878.bam]	168.942
[ECA1891.bam]	173.925
[ECA2525.bam]	235.09
[ECA1186.bam]	186.729
[ECA2360.bam]	172.464
[ECA2583.bam]	184.3
[EG4349.bam]	108.425
[MY23.bam]	562.037
[ECA2644.bam]	159.152
[JU3132.bam]	122.641
[JU3280.bam]	156.171
[ECA253.bam]	314.315
[ECA2656.bam]	542.755
[NIC2004.bam]	171.112
[ECA2095.bam]	141.027
[QG4182.bam]	191.65
[ECA2207.bam]	126.144
[JU847.bam]	412.578
[WN2070.bam]	263.053
[ECA1861.bam]	114.051
[JU3141.bam]	154.811
[ECA2654.bam]	570.849
